Timestamp (UTC),Longitude,Latitude,Pressure [dBar],Temperature [degC],Salinity [psu],PAR [microE/m2/s],CDOM [ppb],Backscatter (700nm),Chlorophyll-a [micro-gm/l]
1787257037.0,170.62408333333332,-45.80801666666666,,,,,,,
1787261612.0,170.65651666666668,-45.79789999999999,,,,,,,
1787264938.0,170.81498333333334,-45.77958333333333,,,,,,,
1787267556.0,170.8861166666667,-45.837333333333326,,,,,,,
1787267982.0,170.8861166666667,-45.837333333333326,,,,,,,
1787276623.0,,,,,,,,,
1787276779.0,,,,,,,,,
1787276799.0,170.95746666666665,-45.83419999999999,,,,,,,
1787281531.0,170.95746666666665,-45.83419999999999,,,,,,,
1787281548.0,170.95746666666665,-45.83419999999999,,,,,,,
1787281610.0,170.95746666666665,-45.83419999999999,,,,,,,
1787281673.0,170.97395,-45.82681666666667,,,,,,,
1787286058.5405273,170.9680383333333,-45.829773333333335,,,,,,,
1787286148.785736,,,4.410000145435333,11.480299949645996,34.95706740930125,0.0,1.7252000570297241,0.0003284999984316528,0.8978999853134155
1787286239.048767,,,13.71999979019165,11.463299751281738,34.97137567214684,0.0,1.7252000570297241,0.00024272500013466924,0.6715999841690063
1787286329.3637695,,,24.660000801086426,11.376299858093262,34.97050346736135,0.0,1.7252000570297241,0.00014965000445954502,0.44530001282691956
1787286419.8964539,,,34.99000072479248,11.322400093078613,34.9636478847206,0.0,1.6344000101089478,0.0001697249972494319,0.43799999356269836
1787286510.3156738,,,45.70000171661377,11.319700241088867,34.965186064406765,0.0,1.6344000101089478,0.00016242499987129122,0.49639999866485596
1787286600.8276978,,,56.529998779296875,11.285300254821777,34.959230264395494,0.0,1.6344000101089478,0.0001569500018376857,0.43070000410079956
1787286691.5058289,,,67.42000102996826,11.24209976196289,34.95284159538448,0.0,1.6344000101089478,0.00016060000052675605,0.40149998664855957
1787286781.9223633,,,78.70999813079834,11.217000007629395,34.94746301228,0.0,1.6344000101089478,0.00016060000052675605,0.39419999718666077
1787286872.3441467,,,89.5199966430664,11.187100410461426,34.94545741806071,0.0,1.6344000101089478,0.00017154999659396708,0.38690000772476196
1787286962.83432,,,100.86000442504883,11.184700012207031,34.94405814450024,0.0,1.6344000101089478,0.0002518499968573451,0.35040000081062317
1787287053.1649475,,,112.51999855041504,11.179300308227539,34.943676290189856,0.0,1.6344000101089478,0.0003066000062972307,0.37959998846054077
1787287143.5450134,,,104.20999526977539,11.18239974975586,34.943552008805746,0.0,1.6344000101089478,0.0001697249972494319,0.34310001134872437
1787287233.8286438,,,92.77000427246094,11.182299613952637,34.94378787054359,0.0,1.6344000101089478,0.00016060000052675605,0.34310001134872437
1787287324.1427917,,,80.86000442504883,11.203900337219238,34.947503895731735,0.0,1.6344000101089478,0.00017154999659396708,0.48910000920295715
1787287414.7531738,,,68.95999908447266,11.231499671936035,34.95068668050812,0.0,1.7252000570297241,0.00014965000445954502,0.44530001282691956
1787287505.1376648,,,57.059998512268066,11.267999649047852,34.956542679993476,0.0,1.7252000570297241,0.0001441750064259395,0.41609999537467957
1787287595.6736755,,,45.14999866485596,11.310600280761719,34.962851049805764,0.0,1.6344000101089478,0.00016789999790489674,0.48179998993873596
1787287685.989441,,,33.399999141693115,11.31820011138916,34.963977155069365,0.0,1.6344000101089478,0.00016060000052675605,0.47450000047683716
1787287776.3365173,,,21.689999103546143,11.33240032196045,34.965575515823495,0.0,1.7252000570297241,0.00014782500511500984,0.41609999537467957
1787287866.8860168,,,10.390000343322754,11.417099952697754,34.97100531198302,0.0,1.7252000570297241,0.00017519999528303742,0.49639999866485596
1787287922.943512,170.96876833333334,-45.82951166666667,,,,,,,
1787287957.1302185,,,5.270000100135803,11.393699645996094,34.87006857385665,0.0,1.9068000316619873,0.0002390750014455989,0.5037000179290771
1787288047.573639,,,15.34000039100647,11.36970043182373,34.968049568402655,0.0,1.7252000570297241,0.00015877500118222088,0.44530001282691956
1787288138.0085144,,,25.160000324249268,11.319299697875977,34.9644438993698,0.0,1.6344000101089478,0.0001514750038040802,0.45260000228881836
1787288228.5497742,,,35.63999891281128,11.312100410461426,34.96330503642864,0.0,1.6344000101089478,0.00015512500249315053,0.5328999757766724
1787288319.1604614,,,46.33999824523926,11.3056001663208,34.96249782770095,0.0,1.7252000570297241,0.0001642499992158264,0.48910000920295715
1787288409.9460144,,,56.64999961853027,11.239500045776367,34.95277872156191,0.0,1.6344000101089478,0.00017154999659396708,0.43070000410079956
1787288500.7330933,,,66.66999816894531,11.22029972076416,34.95011715963114,0.0,1.6344000101089478,0.00016789999790489674,0.41609999537467957
1787288591.1109924,,,77.30000019073486,11.212900161743164,34.947811597876346,0.0,1.6344000101089478,0.00016242499987129122,0.37959998846054077
1787288681.4777527,,,87.6099967956543,11.194299697875977,34.94564193907972,0.0,1.7252000570297241,0.00017337499593850225,0.38690000772476196
1787288771.914032,,,97.37000465393066,11.180299758911133,34.9435301148005,0.0,1.6344000101089478,0.00018250000721309334,0.35040000081062317
1787288862.5446167,,,107.29999542236328,11.178000450134277,34.94286641828109,0.0,1.7252000570297241,0.00020257500000298023,0.39419999718666077
1787288953.1107483,,,112.51999855041504,11.180000305175781,34.94271290001229,0.0,1.6344000101089478,0.0001642499992158264,0.37959998846054077
1787289043.2984924,,,101.90999984741211,11.178899765014648,34.94273017842852,0.0,1.6344000101089478,0.0002043999993475154,0.36500000953674316
1787289133.7209167,,,90.50999641418457,11.189599990844727,34.944630979113455,0.0,1.7252000570297241,0.0001770249946275726,0.3357999920845032
1787289224.0340881,,,79.20000076293945,11.195699691772461,34.945291549291404,0.0,1.7252000570297241,0.00015330000314861536,0.36500000953674316
1787289314.2957764,,,68.08000087738037,11.21619987487793,34.9492015627643,0.0,1.7252000570297241,0.00026462500682100654,0.41609999537467957
1787289404.8217163,,,56.64999961853027,11.226400375366211,34.95030368503369,0.0,1.6344000101089478,0.00018797500524669886,0.39419999718666077
1787289495.1802979,,,44.9399995803833,11.255800247192383,34.95437621591717,0.0,1.7252000570297241,0.00014782500511500984,0.40880000591278076
1787289585.3368225,,,33.88000011444092,11.303299903869629,34.96162427636469,0.0,1.7252000570297241,0.00031572498846799135,0.43070000410079956
1787289675.9612732,,,23.15000057220459,11.31410026550293,34.9638256909965,0.0,1.6344000101089478,0.00014235000708140433,0.6424000263214111
1787289766.1830444,,,12.400000095367432,11.340299606323242,34.96601566281354,0.0,1.6344000101089478,0.00014965000445954502,0.48910000920295715
1787289908.9516602,170.97370499999997,-45.82696666666666,,,,,,,
1787290001.1913757,170.97394999999997,-45.82682,,,,,,,
1787290135.0,170.97395,-45.82681666666667,,,,,,,
1787290165.0,170.97395,-45.82681666666667,,,,,,,
1787290437.0,170.9814333333333,-45.822583333333334,,,,,,,
1787290595.4145203,170.9760116666667,-45.825718333333334,,,,,,,
1787290690.5914307,,,4.679999947547913,11.360699653625488,34.878057539950866,0.0,1.815999984741211,0.00032302498584613204,0.5839999914169312
1787290780.9309692,,,13.559999465942383,11.316499710083008,34.96505615763976,0.0,1.7252000570297241,0.00018797500524669886,0.43799999356269836
1787290871.1321106,,,23.08000087738037,11.300700187683105,34.96178377934132,0.0,1.7252000570297241,0.00014052499318495393,0.41609999537467957
1787290961.5462341,,,32.90999889373779,11.237299919128418,34.95298533876728,0.0,1.6344000101089478,0.00015877500118222088,0.40149998664855957
1787291051.8278503,,,42.849998474121094,11.224300384521484,34.95122532508508,0.0,1.6344000101089478,0.00016060000052675605,0.40880000591278076
1787291142.0088806,,,53.359999656677246,11.22089958190918,34.949247053265005,0.0,1.7252000570297241,0.0001569500018376857,0.36500000953674316
1787291232.673706,,,65.01999855041504,11.218099594116211,34.94996285166382,0.0,1.6344000101089478,0.00018067499331664294,0.37229999899864197
1787291322.9369812,,,76.39999866485596,11.1899995803833,34.94529340605011,0.0,1.6344000101089478,0.00018797500524669886,0.35040000081062317
1787291413.3652039,,,87.79000282287598,11.186599731445312,34.94401955282183,0.0,1.6344000101089478,0.00020257500000298023,0.35040000081062317
1787291503.8349,,,99.18000221252441,11.178999900817871,34.943955123029895,0.0,1.7252000570297241,0.00016607499856036156,0.35040000081062317
1787291594.3522034,,,109.77999687194824,11.174599647521973,34.94269841635058,0.0,1.7252000570297241,0.00020257500000298023,0.34310001134872437
1787291684.7824402,,,115.86999893188477,11.17710018157959,34.94218192796335,0.0,1.7252000570297241,0.00020075000065844506,0.357699990272522
1787291775.0555115,,,104.21999931335449,11.174799919128418,34.94210840686695,0.0,1.7252000570297241,0.00016607499856036156,0.357699990272522
1787291865.5611267,,,92.32000350952148,11.190299987792969,34.944748161489095,0.0,1.7252000570297241,0.00018067499331664294,0.36500000953674316
1787291955.971405,,,81.07000350952148,11.199899673461914,34.94583787020352,0.0,1.7252000570297241,0.00022447500668931752,0.34310001134872437
1787292046.5693054,,,69.67999935150146,11.199399948120117,34.945940538726816,0.0,1.6344000101089478,0.00015330000314861536,0.34310001134872437
1787292136.8745728,,,59.28999900817871,11.207300186157227,34.94786657257107,0.0,1.7252000570297241,0.00016607499856036156,0.357699990272522
1787292227.2085571,,,48.10999870300293,11.214900016784668,34.94894286442689,0.0,1.7252000570297241,0.00014235000708140433,0.37229999899864197
1787292317.7059326,,,37.03999996185303,11.205699920654297,34.9472305712241,0.0,1.7252000570297241,0.0001989250013139099,0.357699990272522
1787292408.014801,,,25.469999313354492,11.21500015258789,34.94896379278815,0.0,1.6344000101089478,0.00018615000590216368,0.37959998846054077
1787292498.6698608,,,14.600000381469727,11.292799949645996,34.96077330734543,0.0,1.6344000101089478,0.00013869999384041876,0.42340001463890076
1787292584.3024902,170.97685833333333,-45.824963333333336,,,,,,,
1787292589.0484314,,,3.5199999809265137,11.36970043182373,34.965115827414195,0.0,1.7252000570297241,0.00018615000590216368,0.42340001463890076
1787292679.5395508,,,12.46000051498413,11.309900283813477,34.963574479944945,0.0,1.6344000101089478,0.00016060000052675605,0.41609999537467957
1787292769.870453,,,23.389999866485596,11.250499725341797,34.95585535399927,0.0,1.6344000101089478,0.00014600000577047467,0.43070000410079956
1787292860.188202,,,34.140000343322754,11.222599983215332,34.948196276899814,0.0,1.7252000570297241,0.00016060000052675605,0.45989999175071716
1787292950.6688538,,,44.23999786376953,11.208900451660156,34.94862006810872,0.0,1.6344000101089478,0.00021534999541472644,0.48910000920295715
