Day_Index,Timestamp (UTC),Longitude,Latitude,Pressure [dBar],Temperature [degC],Salinity [psu],PAR [microE/m2/s],CDOM [ppb],Backscatter (700nm),Chlorophyll-a [micro-gm/l]
1,1773090040.12146,173.47833833333334,-43.051748333333336,,,,,,,
1,1773090104.520935,,,7.829999923706055,14.239500045776367,34.49051891868426,85549608.0,1.1764999628067017,0.0005665919743478,3.2193000316619873
1,1773090165.257721,,,9.240000247955322,14.198800086975098,34.492169606839184,62099024.0,1.1764999628067017,0.0013692639768123,4.423799991607666
1,1773090226.0471497,,,9.089999794960022,14.20479965209961,34.493994692324215,65794304.0,1.4479999542236328,0.0005339040071703,3.591599941253662
1,1773090286.1669312,,,9.079999923706056,14.190999984741213,34.496432159217605,68048176.0,1.2669999599456787,0.0005611440283246,3.6719000339508057
1,1773090347.0015564,,,8.479999899864197,14.184000015258787,34.49840506069398,82523416.0,0.5429999828338623,0.0005847520078532,2.963799953460694
1,1773091288.530304,173.48001333333335,-43.04859166666667,,,,,,,
1,1773091363.5117798,,,8.500000238418579,14.056599617004396,34.513146957009816,97337032.0,1.1764999628067017,0.0007264000014401,3.343400001525879
1,1773091424.0518494,,,11.139999628067017,13.977999687194824,34.55168503093862,58537564.0,1.0859999656677246,0.000506663986016,1.9709999561309817
1,1773092427.0688171,173.48278499999998,-43.04581333333332,,,,,,,
1,1773092470.0056765,,,8.43999981880188,14.221799850463867,34.488872401724414,139439872.0,0.9955000281333924,0.0022009920794516,3.430999994277954
1,1773092530.98349,,,11.519999504089355,14.04930019378662,34.52515013902991,65153892.0,0.9955000281333924,0.0012948079966008,2.270299911499023
1,1773095668.5371094,173.48800166666666,-43.036005,,,,,,,
1,1773095701.014801,,,7.369999885559082,14.340499877929688,34.491091659854945,377300704.0,1.1764999628067017,0.0006192559958435,3.4382998943328857
1,1773095761.9660034,,,15.06999969482422,14.0246000289917,34.52270022081001,59753392.0,0.8144999742507935,0.0004921359941363,2.9856998920440674
1,1773095822.8809204,,,22.99999952316284,13.651100158691406,34.550253254016816,-707321.75,0.8144999742507935,0.0003686480049509,1.058500051498413
1,1773095883.6073914,,,31.019999980926514,13.521400451660156,34.57246110822325,-13645574.0,0.8144999742507935,0.0005811200244352,0.5839999914169312
1,1773095944.5176392,,,39.99000072479248,13.532999992370604,34.57533146036339,-18501242.0,1.2669999599456787,0.0007663519936613,0.6643000245094299
