Day_Index,Timestamp (UTC),Longitude,Latitude,Pressure [dBar],Temperature [degC],Salinity [psu],PAR [microE/m2/s],CDOM [ppb],Backscatter (700nm),Chlorophyll-a [micro-gm/l]
1,1773090040.12146,173.47833833333300,-43.051748333333300,,,,,,,
1,1773090104.520940,,,7.829999923706060,14.239500045776400,34.49051891868430,85549608.0,1.1764999628067000,0.0005665919743478,3.2193000316619900
1,1773090165.257720,,,9.240000247955320,14.198800086975100,34.492169606839200,62099024.0,1.1764999628067000,0.0013692639768123,4.423799991607670
1,1773090226.0471500,,,9.089999794960020,14.20479965209960,34.493994692324200,65794304.0,1.4479999542236300,0.0005339040071703,3.591599941253660
1,1773090286.1669300,,,9.079999923706060,14.190999984741200,34.496432159217600,68048176.0,1.2669999599456800,0.0005611440283246,3.6719000339508100
1,1773090347.0015600,,,8.479999899864200,14.184000015258800,34.49840506069400,82523416.0,0.5429999828338620,0.0005847520078532,2.963799953460690
1,1773091288.530300,173.48001333333300,-43.04859166666670,,,,,,,
1,1773091363.5117800,,,8.500000238418580,14.056599617004400,34.513146957009800,97337032.0,1.1764999628067000,0.0007264000014401,3.343400001525880
1,1773091424.0518500,,,11.139999628067000,13.977999687194800,34.55168503093860,58537564.0,1.0859999656677200,0.000506663986016,1.9709999561309800
1,1773092427.0688200,173.48278500000000,-43.04581333333330,,,,,,,
1,1773092470.0056800,,,8.43999981880188,14.221799850463900,34.488872401724400,139439872.0,0.9955000281333920,0.0022009920794516,3.430999994277950
1,1773092530.98349,,,11.519999504089400,14.04930019378660,34.52515013902990,65153892.0,0.9955000281333920,0.0012948079966008,2.270299911499020
1,1773095668.5371100,173.48800166666700,-43.036005,,,,,,,
1,1773095701.014800,,,7.369999885559080,14.340499877929700,34.491091659854900,377300704.0,1.1764999628067000,0.0006192559958435,3.4382998943328900
1,1773095761.9660000,,,15.06999969482420,14.0246000289917,34.52270022081000,59753392.0,0.8144999742507940,0.0004921359941363,2.9856998920440700
1,1773095822.8809200,,,22.99999952316280,13.651100158691400,34.550253254016800,-707321.75,0.8144999742507940,0.0003686480049509,1.058500051498410
1,1773095883.6073900,,,31.019999980926500,13.521400451660200,34.57246110822330,-13645574.0,0.8144999742507940,0.0005811200244352,0.5839999914169310
1,1773095944.5176400,,,39.99000072479250,13.532999992370600,34.57533146036340,-18501242.0,1.2669999599456800,0.0007663519936613,0.6643000245094300
1,1773096005.500120,,,48.77999782562260,13.52929973602300,34.57661530551050,-20233226.0,1.4479999542236300,0.0008208319777622,0.6643000245094300
1,1773096066.2743200,,,57.67000198364260,13.530699729919400,34.575679335065800,-20883196.0,1.1764999628067000,0.0008716799784451,0.6862000226974490
1,1773096127.150240,,,66.32999897003170,13.52750015258790,34.57524867063270,-21169948.0,1.3574999570846600,0.0008789440034888,0.525600016117096
1,1773096187.842680,,,75.72999954223630,13.52180004119870,34.5750852107211,-21265532.0,1.1764999628067000,0.0009334239875897,0.5694000124931340
1,1773096248.8125900,,,80.29000282287600,13.517900466918900,34.57568129211840,-21277002.0,1.628999948501590,0.0011186560150235,0.5694000124931340
1,1773096309.7818900,,,77.44999885559080,13.515899658203100,34.57491251437730,-21278914.0,1.1764999628067000,0.00099880003836,0.5547999739646910
1,1773096370.4684400,,,67.63999938964840,13.52340030670170,34.57399705179550,-21210094.0,1.1764999628067000,0.0008589680073782,0.4379999935626980
1,1773096431.1984900,,,56.77999973297120,13.528599739074700,34.57550790450140,-20948194.0,1.1764999628067000,0.000773616018705,0.5328999757766720
